maaned,foretakskonkurser
2021M01,115
2021M02,167
2021M03,179
2021M04,167
2021M05,148
2021M06,185
2021M07,85
2021M08,89
2021M09,182
2021M10,172
2021M11,160
2021M12,150
2022M01,155
2022M02,175
2022M03,194
2022M04,127
2022M05,176
2022M06,193
2022M07,140
2022M08,146
2022M09,206
2022M10,187
2022M11,195
2022M12,168
2023M01,255
2023M02,207
2023M03,275
2023M04,142
2023M05,190
2023M06,217
2023M07,139
2023M08,191
2023M09,240
2023M10,255
2023M11,226
2023M12,195
2024M01,350
2024M02,352
2024M03,268
2024M04,397
2024M05,329
2024M06,359
2024M07,244
2024M08,282
2024M09,328
2024M10,325
2024M11,357
2024M12,324
2025M01,356
2025M02,327
2025M03,344
2025M04,359
2025M05,321
2025M06,309
2025M07,262
2025M08,259
2025M09,312
2025M10,322
2025M11,286
2025M12,258
2026M01,293
2026M02,270
2026M03,325
2026M04,266
2026M05,297
2026M06,366
2026M07,237
2026M08,204
