Nav-region,2021–2023 (region),2024–2025 (fylker aggregert)
Nav Øst-Viken,Øst-Viken,Østfold + Akershus
Nav Vest-Viken,Vest-Viken,Buskerud
Nav Oslo,Oslo,Oslo
Nav Innlandet,Innlandet,Innlandet
Nav Vestfold og Telemark,Vestfold og Telemark,Vestfold + Telemark
Nav Agder,Agder,Agder
Nav Rogaland,Rogaland,Rogaland
Nav Vestland,Vestland,Vestland
Nav Møre og Romsdal,Møre og Romsdal,Møre og Romsdal
Nav Trøndelag,Trøndelag,Trøndelag
Nav Nordland,Nordland,Nordland
Nav Troms og Finnmark,Troms og Finnmark,Troms + Finnmark
