mismatch_var,mismatch_label,utfall,utfall_label,indikator_type,indikator_type_label,r_pearson,p_pearson,r_pearson_ci_lav,r_pearson_ci_hoy,r_spearman,p_spearman,n,liten_utvalg,p_pearson_fdr,p_spearman_fdr
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb3,Jobb 3 mnd,faktisk,Faktisk,0.981,0.003,0.739,0.999,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.865,0.0581,-0.072,0.991,0.4,0.5046,5,True,0.0851,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb12,Jobb 12 mnd,faktisk,Faktisk,0.998,0.0025,0.882,1.0,0.8,0.2,4,True,0.034,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.982,0.0183,0.366,1.0,0.4,0.6,4,True,0.0499,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.983,0.0027,0.758,0.999,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.897,0.039,0.071,0.993,0.4,0.5046,5,True,0.0669,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.996,0.0041,0.811,1.0,0.8,0.2,4,True,0.034,0.7129
mismatch_indeks,Jackman–Roper mismatch-indeks,atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.989,0.0113,0.554,1.0,0.4,0.6,4,True,0.0387,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),jobb3,Jobb 3 mnd,faktisk,Faktisk,0.977,0.0043,0.682,0.999,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.877,0.0509,-0.024,0.992,0.4,0.5046,5,True,0.0842,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),jobb12,Jobb 12 mnd,faktisk,Faktisk,0.993,0.0067,0.711,1.0,0.8,0.2,4,True,0.034,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.972,0.0278,0.169,0.999,0.4,0.6,4,True,0.0635,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.976,0.0044,0.678,0.999,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.909,0.0326,0.134,0.994,0.4,0.5046,5,True,0.0652,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.989,0.0112,0.559,1.0,0.8,0.2,4,True,0.0387,0.7129
mismatch_indeks_cd_30,Cobb–Douglas mismatch (α=0.3),atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.98,0.0203,0.319,1.0,0.4,0.6,4,True,0.0513,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),jobb3,Jobb 3 mnd,faktisk,Faktisk,0.971,0.0058,0.624,0.998,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.871,0.0546,-0.049,0.991,0.4,0.5046,5,True,0.0845,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),jobb12,Jobb 12 mnd,faktisk,Faktisk,0.991,0.009,0.629,1.0,0.8,0.2,4,True,0.036,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.968,0.032,0.099,0.999,0.4,0.6,4,True,0.0652,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.971,0.0059,0.619,0.998,0.7,0.1881,5,True,0.034,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.904,0.0353,0.106,0.994,0.4,0.5046,5,True,0.0669,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.985,0.0145,0.462,1.0,0.8,0.2,4,True,0.0435,0.7129
mismatch_indeks_cd_50,Cobb–Douglas mismatch (α=0.5),atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.976,0.0243,0.235,1.0,0.4,0.6,4,True,0.0583,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),jobb3,Jobb 3 mnd,faktisk,Faktisk,0.966,0.0076,0.563,0.998,0.4,0.5046,5,True,0.034,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.865,0.0585,-0.074,0.991,0.3,0.6238,5,True,0.0851,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),jobb12,Jobb 12 mnd,faktisk,Faktisk,0.988,0.0122,0.529,1.0,0.4,0.6,4,True,0.039,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.963,0.0373,0.022,0.999,0.2,0.8,4,True,0.0669,0.8
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.965,0.0078,0.556,0.998,0.4,0.5046,5,True,0.034,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.899,0.038,0.081,0.993,0.3,0.6238,5,True,0.0669,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.981,0.0187,0.355,1.0,0.4,0.6,4,True,0.0499,0.7129
mismatch_indeks_cd_70,Cobb–Douglas mismatch (α=0.7),atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.971,0.0292,0.144,0.999,0.2,0.8,4,True,0.0637,0.8
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),jobb3,Jobb 3 mnd,faktisk,Faktisk,-0.656,0.2295,-0.974,0.537,-0.4,0.5046,5,True,0.2504,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),jobb3,Jobb 3 mnd,indikator,Indikator (avvik),-0.442,0.4558,-0.953,0.722,-0.3,0.6238,5,True,0.4558,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),jobb12,Jobb 12 mnd,faktisk,Faktisk,-0.881,0.1192,-0.997,0.523,-0.4,0.6,4,True,0.1546,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),jobb12,Jobb 12 mnd,indikator,Indikator (avvik),-0.83,0.17,-0.996,0.648,-0.2,0.8,4,True,0.1943,0.8
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),atid3,Arbeidstid 3 mnd,faktisk,Faktisk,-0.662,0.2236,-0.975,0.53,-0.4,0.5046,5,True,0.2496,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),-0.508,0.3823,-0.96,0.678,-0.3,0.6238,5,True,0.3904,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),atid12,Arbeidstid 12 mnd,faktisk,Faktisk,-0.859,0.1414,-0.997,0.586,-0.4,0.6,4,True,0.1697,0.7129
stramhetsratio,Aggregert stramhetsratio (mangel/ledige),atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),-0.84,0.1603,-0.997,0.629,-0.2,0.8,4,True,0.1877,0.8
mismatch_ledighet_andel,Andel mismatch-ledighet,jobb3,Jobb 3 mnd,faktisk,Faktisk,0.763,0.1333,-0.365,0.983,0.4,0.5046,5,True,0.1641,0.7129
mismatch_ledighet_andel,Andel mismatch-ledighet,jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.548,0.3385,-0.647,0.964,0.3,0.6238,5,True,0.3532,0.7129
mismatch_ledighet_andel,Andel mismatch-ledighet,jobb12,Jobb 12 mnd,faktisk,Faktisk,0.946,0.0544,-0.17,0.999,0.4,0.6,4,True,0.0845,0.7129
mismatch_ledighet_andel,Andel mismatch-ledighet,jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.903,0.0965,-0.437,0.998,0.2,0.8,4,True,0.1287,0.8
