mismatch_var,mismatch_label,utfall,utfall_label,indikator_type,indikator_type_label,r_pearson,p_pearson,r_spearman,p_spearman,n
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb3,Jobb 3 mnd,faktisk,Faktisk,0.229,0.3318,0.406,0.0754,20
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.281,0.2303,0.36,0.1193,20
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb12,Jobb 12 mnd,faktisk,Faktisk,0.284,0.2689,0.288,0.262,17
mismatch_indeks,Jackman–Roper mismatch-indeks,jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.306,0.2325,0.395,0.117,17
mismatch_indeks,Jackman–Roper mismatch-indeks,atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.235,0.3183,0.436,0.0546,20
mismatch_indeks,Jackman–Roper mismatch-indeks,atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.214,0.3639,0.342,0.1397,20
mismatch_indeks,Jackman–Roper mismatch-indeks,atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.297,0.2469,0.499,0.0414,17
mismatch_indeks,Jackman–Roper mismatch-indeks,atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.293,0.2535,0.311,0.2239,17
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),jobb3,Jobb 3 mnd,faktisk,Faktisk,0.311,0.182,0.496,0.0262,20
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),jobb3,Jobb 3 mnd,indikator,Indikator (avvik),0.374,0.1039,0.382,0.0964,20
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),jobb12,Jobb 12 mnd,faktisk,Faktisk,0.36,0.1563,0.456,0.0658,17
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),jobb12,Jobb 12 mnd,indikator,Indikator (avvik),0.408,0.1036,0.57,0.0169,17
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),atid3,Arbeidstid 3 mnd,faktisk,Faktisk,0.312,0.1806,0.565,0.0095,20
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),atid3,Arbeidstid 3 mnd,indikator,Indikator (avvik),0.324,0.1628,0.352,0.1282,20
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),atid12,Arbeidstid 12 mnd,faktisk,Faktisk,0.405,0.1065,0.644,0.0053,17
mismatch_indeks_cd_30,Cobb–Douglas (α=0.3),atid12,Arbeidstid 12 mnd,indikator,Indikator (avvik),0.461,0.0626,0.528,0.0293,17
mismatch_indeks_cd_50,Cobb–Douglas (α=0.5),jobb3,Jobb 3 mnd,faktisk,Faktisk,0.338,0.1455,0.489,0.0288,20
