kvartal,total_stillinger,total_sysselsatte,mismatch_indeks,mismatch_indeks_cd_30,mismatch_indeks_cd_50,mismatch_indeks_cd_70,stramhetsratio,stramhetsindikator,antall_naeringer
2010K1,58900,2472000,0.1828,0.0232,0.0273,0.0228,0.023827,0.023272,18
2010K2,60800,2507000,0.1571,0.0184,0.0219,0.0186,0.024252,0.023678,18
2010K3,65600,2504000,0.1444,0.0176,0.021,0.0177,0.026198,0.025529,18
2010K4,62800,2503000,0.18,0.0226,0.027,0.023,0.02509,0.024476,18
2011K1,66900,2506000,0.1813,0.0221,0.0267,0.0229,0.026696,0.026002,18
2011K2,70600,2539000,0.1887,0.0264,0.0318,0.0273,0.027806,0.027054,18
2011K3,70200,2554000,0.1522,0.0209,0.0258,0.0226,0.027486,0.026751,18
2011K4,69700,2556000,0.1714,0.0223,0.0272,0.0236,0.027269,0.026545,18
2012K1,67000,2558000,0.1455,0.0215,0.0265,0.0232,0.026192,0.025524,18
2012K2,64500,2585000,0.1767,0.0261,0.0313,0.0268,0.024952,0.024344,18
2012K3,63500,2591000,0.1632,0.0249,0.0302,0.0262,0.024508,0.023922,18
2012K4,65600,2581000,0.1606,0.0264,0.0324,0.0283,0.025417,0.024787,18
2013K1,65200,2569000,0.171,0.0238,0.029,0.0252,0.02538,0.024751,18
2013K2,66900,2595000,0.1522,0.0201,0.0243,0.0208,0.02578,0.025132,18
2013K3,61600,2609000,0.1865,0.0239,0.029,0.0249,0.023611,0.023066,18
2013K4,57500,2602000,0.1489,0.0178,0.0218,0.0189,0.022098,0.021621,18
2014K1,58900,2584000,0.1809,0.0236,0.0285,0.0243,0.022794,0.022286,18
2014K2,58700,2635000,0.1849,0.0262,0.032,0.0278,0.022277,0.021792,18
2014K3,57000,2622000,0.2005,0.026,0.0317,0.0275,0.021739,0.021277,18
2014K4,60100,2622000,0.2514,0.0359,0.0433,0.037,0.022921,0.022408,18
2015K1,57800,2614000,0.2303,0.0301,0.0356,0.0299,0.022112,0.021633,18
2015K2,56200,2654000,0.1879,0.0225,0.0263,0.0217,0.021176,0.020736,18
2015K3,52300,2639000,0.2052,0.0265,0.0309,0.0256,0.019818,0.019433,18
2015K4,50600,2627000,0.1841,0.0214,0.0252,0.0211,0.019262,0.018898,18
2016K1,52300,2617000,0.2037,0.0261,0.0305,0.0253,0.019985,0.019593,18
2016K2,50800,2636000,0.193,0.0248,0.0287,0.0235,0.019272,0.018907,18
2016K3,55200,2641000,0.2161,0.0291,0.0335,0.0275,0.020901,0.020473,18
2016K4,55000,2620000,0.1813,0.0204,0.0242,0.0202,0.020992,0.020561,18
2017K1,55100,2612000,0.1351,0.0152,0.0179,0.015,0.021095,0.020659,18
2017K2,58700,2653000,0.1742,0.0185,0.0217,0.0181,0.022126,0.021647,18
2017K3,60300,2651000,0.1521,0.0134,0.0159,0.0133,0.022746,0.02224,18
2017K4,65100,2647000,0.1526,0.0148,0.0173,0.0144,0.024594,0.024004,18
2018K1,64800,2657000,0.1446,0.0128,0.0153,0.0128,0.024388,0.023808,18
2018K2,68100,2698000,0.148,0.014,0.0167,0.0141,0.025241,0.02462,18
2018K3,72400,2714000,0.155,0.0156,0.0183,0.0153,0.026676,0.025983,18
2018K4,66600,2704000,0.1357,0.0116,0.0138,0.0116,0.02463,0.024038,18
2019K1,71300,2689000,0.138,0.0124,0.015,0.0129,0.026515,0.025831,18
2019K2,76000,2710000,0.1079,0.0102,0.0121,0.0101,0.028044,0.027279,18
