aar,felles,stramhetsindikator_ssb,stramhetsindikator_bedrift,mangel_antall
2021,Bergverksdrift og utvinning,0.0171606864274571,0.002326292195883991,150.0
2022,Bergverksdrift og utvinning,0.03133903133903134,0.009490094402340115,550.0
2023,Bergverksdrift og utvinning,0.023709902370990237,0.01416992785206892,750.0
2024,Bergverksdrift og utvinning,0.03169014084507042,0.008129935391241924,450.0
2025,Bergverksdrift og utvinning,0.025157232704402517,0.006029788957386492,400.0
2026,Bergverksdrift og utvinning,0.0196078431372549,0.003128104013164722,200.0
2021,Bygge- og anlegg,0.021834061135371178,0.035695140133684015,8500.0
2022,Bygge- og anlegg,0.032387045181927226,0.05449075105861377,13700.0
2023,Bygge- og anlegg,0.032780250910562525,0.030658035980919943,7600.0
2024,Bygge- og anlegg,0.034482758620689655,0.022379888222675406,5500.0
2025,Bygge- og anlegg,0.034782608695652174,0.019600637526529196,4750.0
2026,Bygge- og anlegg,0.02548055431381314,0.023168435574975575,5550.0
2021,Eiendom og tjenesteyting,0.03640256959314775,0.019999017729973968,6100.0
2022,Eiendom og tjenesteyting,0.05466970387243736,0.0272706284342245,8850.0
2023,Eiendom og tjenesteyting,0.061525375673376806,0.019171795327967964,6350.0
2024,Eiendom og tjenesteyting,0.039030955585464336,0.010745966450873185,3500.0
2025,Eiendom og tjenesteyting,0.042462239954402965,0.014357805137558901,4700.0
2026,Eiendom og tjenesteyting,0.0373113073198519,0.009330535602150372,3050.0
2021,"Elektrisitet, vann og renovasjon",0.018404907975460124,0.0038318837053707188,150.0
2022,"Elektrisitet, vann og renovasjon",0.023746701846965697,0.01144656308851224,400.0
2023,"Elektrisitet, vann og renovasjon",0.02702702702702703,0.007191965275797612,250.0
2024,"Elektrisitet, vann og renovasjon",0.03225806451612903,0.006479746952062156,200.0
2025,"Elektrisitet, vann og renovasjon",0.03307888040712468,0.008655587514647917,350.0
2026,"Elektrisitet, vann og renovasjon",0.023668639053254437,0.006754072308303536,250.0
