utfall,utfall_label,naering_col,naering_label,beta,se,r,p,r2,n
faktisk_atid12,Faktisk atid 12 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-165.7332,35.3956,-0.771,0.0003,0.594,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-71.5788,52.6039,-0.331,0.1937,0.11,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,-41.9259,31.8652,-0.322,0.208,0.103,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-159.9045,32.5093,-0.786,0.0002,0.617,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-103.5778,87.6201,-0.292,0.2556,0.085,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-171.8845,30.6273,-0.823,0.0,0.677,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_industri,Industri,-228.8438,66.8594,-0.662,0.0038,0.439,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,74.18,46.9751,0.378,0.1352,0.143,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,23.9535,26.8472,0.224,0.3864,0.05,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-106.4008,48.4676,-0.493,0.0443,0.243,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-76.7088,73.6905,-0.26,0.3144,0.067,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-31.1355,15.4466,-0.462,0.0621,0.213,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_transport_og_lagring,Transport Og Lagring,-118.3599,30.1738,-0.712,0.0014,0.506,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_undervisning,Undervisning,-229.743,122.7352,-0.435,0.0809,0.189,17
faktisk_atid12,Faktisk atid 12 mnd,ssb_varehandel,Varehandel,-88.6029,23.9006,-0.691,0.0021,0.478,17
faktisk_atid3,Faktisk atid 3 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-81.4415,25.8368,-0.596,0.0055,0.356,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-23.9788,32.6421,-0.171,0.472,0.029,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,-8.3656,19.1819,-0.102,0.6679,0.01,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-89.8768,21.3075,-0.705,0.0005,0.497,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-29.646,52.4506,-0.132,0.5789,0.017,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-111.334,21.1948,-0.778,0.0001,0.605,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_industri,Industri,-120.8356,41.8919,-0.562,0.0099,0.316,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,55.6527,22.0679,0.511,0.0213,0.261,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,26.2054,15.4307,0.372,0.1067,0.138,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-32.5016,29.5343,-0.251,0.2856,0.063,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-39.6429,45.7597,-0.2,0.3977,0.04,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-12.6245,10.2366,-0.279,0.2333,0.078,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_transport_og_lagring,Transport Og Lagring,-62.3433,21.1549,-0.57,0.0086,0.325,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_undervisning,Undervisning,-48.1838,67.1494,-0.167,0.4822,0.028,20
faktisk_atid3,Faktisk atid 3 mnd,ssb_varehandel,Varehandel,-53.7415,16.4362,-0.61,0.0043,0.373,20
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-619.5738,112.066,-0.819,0.0001,0.671,17
faktisk_jobb12,Faktisk jobb 12 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-303.5883,179.7547,-0.4,0.1119,0.16,17
