utfall,utfall_label,naering_col,naering_label,beta,se,r,p,r2,n
faktisk_atid12,Faktisk atid 12 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-85.6686,36.1044,-0.582,0.037,0.339,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-93.8738,33.7252,-0.643,0.0178,0.413,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,-19.4439,20.7452,-0.272,0.3687,0.074,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-86.662,39.1131,-0.555,0.0487,0.309,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-152.4481,42.4405,-0.735,0.0042,0.54,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-115.4937,22.4688,-0.84,0.0003,0.706,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_industri,Industri,-172.193,38.852,-0.801,0.001,0.641,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,26.2762,34.3932,0.224,0.4609,0.05,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-32.0465,32.1293,-0.288,0.34,0.083,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-61.9787,35.022,-0.471,0.1045,0.222,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-53.6097,46.5801,-0.328,0.2742,0.107,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-23.5706,10.3659,-0.565,0.044,0.32,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_transport_og_lagring,Transport Og Lagring,-63.6506,25.3462,-0.604,0.0289,0.364,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_undervisning,Undervisning,-158.6244,74.1993,-0.542,0.0558,0.294,13
faktisk_atid12,Faktisk atid 12 mnd,ssb_varehandel,Varehandel,-50.6707,17.8671,-0.65,0.0162,0.422,13
faktisk_atid3,Faktisk atid 3 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-29.2148,21.9642,-0.335,0.2047,0.112,16
